Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Industry_of_Experience,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Routine_vs_Dynamic_Work,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Work_Life_Balance_Preference,Salary_Expectation,Value_Priority,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Education,Flexible,Practical,High,Low,Medium,Low,Medium,Nursing,20,High,Medium,Medium,Medium,Medium,Auditory,3,Medium,Sales,Urban,No,Masters,3.54,Construction,No,No,High,Dynamic,Medium,Medium,3,Shifts,On-site,High,<30k,Recognition,No,16,Yes,Low,High,High,High,High,Geologist
Finance,Flexible,Strategic,High,Medium,Medium,Medium,Medium,Biology,7,Medium,Medium,High,High,High,Kinesthetic,0,Low,Lawyer,Flexible,No,Masters,3.15,Finance,No,No,High,Routine,Low,Medium,4,9â€“5,On-site,Low,<30k,Helping Others,No,10,No,Low,High,Medium,Low,Medium,Actuary
Design,Collaborative,Analytical,Medium,High,High,Medium,Low,Computer Science,19,High,Low,Medium,High,High,Auditory,4,Low,Consulting,Flexible,No,PhD,2.05,Arts,No,No,High,Routine,Low,Low,8,Freelance,Remote,Low,30kâ€“60k,Helping Others,No,4,No,High,Medium,High,Low,Low,Clinical Psychologist
Legal,Flexible,Practical,Medium,High,Low,Low,Low,Journalism,14,Medium,Low,Low,Medium,Medium,Reading/Writing,3,Medium,Marketing,Flexible,Yes,Masters,3.13,Construction,Yes,Yes,Medium,Dynamic,Low,Low,7,Shifts,Remote,Medium,<30k,Helping Others,Yes,17,No,High,Medium,Medium,Medium,High,Journalism
Mathematics,Independent,Analytical,Low,Low,Medium,Medium,Low,Psychology,19,Low,Medium,Medium,High,High,Kinesthetic,4,Medium,Teaching,Rural,Yes,Diploma,3.43,Healthcare,No,No,Low,Dynamic,Medium,Low,5,Shifts,On-site,High,>100k,Recognition,Yes,15,Yes,High,Medium,Medium,Low,High,Finance
Hospitality,Flexible,Analytical,Medium,Medium,Low,Medium,Low,Computer Science,13,Medium,Medium,Medium,High,Medium,Visual,5,Medium,Design,Urban,No,Masters,3.41,Healthcare,Yes,No,High,Dynamic,Medium,High,10,Freelance,Hybrid,Medium,60kâ€“100k,Helping Others,No,9,No,Medium,Low,Medium,Medium,Medium,Design
Technology,Independent,Creative,High,High,Low,Medium,Low,Environmental Science,19,Low,High,High,High,Medium,Kinesthetic,5,High,Consulting,Flexible,Yes,Bachelors,3.35,Law,No,No,Medium,Routine,Low,High,0,Shifts,Hybrid,Low,>100k,Innovation,Yes,3,Yes,Low,High,High,Low,Medium,Human Resources
Arts,Flexible,Analytical,Low,High,Low,Low,Medium,Hospitality Management,14,Medium,Low,Medium,Low,High,Reading/Writing,3,Medium,Legal,Urban,No,Diploma,2.45,Construction,No,Yes,Low,Routine,Medium,Medium,4,9â€“5,Remote,High,<30k,Innovation,Yes,13,Yes,High,Medium,Medium,Low,Medium,Mathematics
Legal,Independent,Practical,Low,High,High,High,Medium,Journalism,0,Low,High,Low,Medium,High,Auditory,1,Low,Engineering,Urban,No,Diploma,3.11,Arts,Yes,No,Low,Routine,Medium,High,3,Freelance,Remote,Low,60kâ€“100k,Security,Yes,5,Yes,Low,Medium,High,High,Medium,Data Scientist
Engineering,Collaborative,Practical,Low,Medium,Low,Medium,Low,Graphic Design,13,High,High,Medium,High,High,Visual,1,High,Mathematics,Urban,No,Bachelors,3.42,Construction,Yes,Yes,High,Routine,Medium,Medium,7,9â€“5,On-site,High,30kâ€“60k,Security,No,19,No,High,High,High,Medium,Medium,AI Researcher
Arts,Flexible,Analytical,High,High,High,High,High,Economics,12,Low,Low,Medium,Medium,Medium,Reading/Writing,3,Medium,Technology,Rural,Yes,Bachelors,3.9,Law,No,No,Low,Routine,Low,Medium,2,Shifts,On-site,High,<30k,Security,No,0,No,High,Medium,High,Medium,Medium,Human Resources
Engineering,Independent,Analytical,High,Low,Medium,Medium,Medium,Accounting,13,High,Medium,Low,Medium,High,Auditory,4,Medium,Doctor,Urban,Yes,Bachelors,3.47,Law,No,Yes,Low,Routine,Low,High,8,Shifts,On-site,High,>100k,Innovation,Yes,3,No,Low,Low,Medium,Medium,Medium,Chef
Design,Independent,Analytical,Medium,High,Low,Medium,Low,Engineering,7,Medium,High,Medium,Medium,Medium,Visual,3,Medium,Sales,Flexible,Yes,Masters,3.45,Finance,Yes,No,Medium,Dynamic,Medium,Low,9,Freelance,Remote,Low,30kâ€“60k,Helping Others,No,14,No,Medium,Low,Medium,Low,Medium,Social Media Manager
Sales,Collaborative,Analytical,Low,Medium,Low,Low,Low,Sociology,12,High,High,Medium,Medium,High,Auditory,5,Medium,Mathematics,Urban,Yes,Bachelors,2.9,Finance,Yes,Yes,Low,Routine,Medium,High,4,9â€“5,Hybrid,Medium,<30k,Security,No,12,Yes,Medium,High,Medium,High,High,Game Developer
Technology,Collaborative,Analytical,Low,Low,Medium,High,Low,Political Science,5,Medium,Medium,Medium,Medium,High,Kinesthetic,4,Low,Engineering,Urban,Yes,Diploma,2.17,Retail,Yes,No,Medium,Routine,Low,High,7,Shifts,On-site,Medium,>100k,Helping Others,Yes,19,No,Medium,High,High,Medium,High,Chef
Medical,Independent,Practical,Low,High,High,Low,Low,Chemistry,1,Medium,High,High,High,High,Kinesthetic,5,High,Human Resources,Flexible,Yes,Diploma,2.46,Retail,Yes,Yes,Low,Dynamic,Low,Medium,2,Freelance,On-site,Low,<30k,Recognition,Yes,10,No,High,Medium,Medium,Low,Medium,Mechanical Engineer
Lawyer,Independent,Practical,Low,Medium,Low,Medium,Low,Marketing,8,High,Medium,Low,Medium,Medium,Kinesthetic,0,High,Business,Rural,Yes,PhD,3.44,Education,Yes,Yes,Low,Routine,High,Low,3,Shifts,Remote,High,60kâ€“100k,Security,Yes,4,No,Medium,High,Medium,Low,Low,SEO Specialist
Design,Flexible,Practical,High,High,Low,High,Medium,Statistics,6,High,Low,Low,High,Medium,Auditory,5,Medium,Education,Rural,No,Masters,3.42,Tech,Yes,No,Medium,Routine,Medium,High,5,9â€“5,Remote,Medium,60kâ€“100k,Security,Yes,5,Yes,Low,Medium,High,Medium,Medium,Design
Engineering,Collaborative,Practical,High,Medium,Low,Low,Low,Public Relations,13,High,High,Medium,Low,Low,Kinesthetic,2,High,Technology,Urban,Yes,Diploma,2.38,Education,No,Yes,Medium,Dynamic,Medium,Low,8,9â€“5,Hybrid,Medium,<30k,Recognition,Yes,4,No,Low,Medium,Medium,Medium,Low,Human Resources
Marketing,Independent,Creative,Medium,High,Medium,Medium,Low,Fine Arts,5,High,Low,Medium,Low,Low,Reading/Writing,3,High,Human Resources,Urban,Yes,Masters,2.37,Healthcare,No,No,Low,Routine,Low,Low,4,Freelance,Hybrid,High,60kâ€“100k,Security,Yes,15,Yes,Medium,Medium,Medium,High,High,Therapist
Mathematics,Collaborative,Strategic,Medium,Medium,High,Medium,High,Computer Science,8,High,High,Medium,Low,Medium,Auditory,5,Low,Marketing,Flexible,No,Diploma,3.36,Healthcare,Yes,Yes,Medium,Routine,Medium,High,5,Freelance,Hybrid,Medium,30kâ€“60k,Helping Others,Yes,11,Yes,Low,Low,High,Medium,High,Medical
Marketing,Collaborative,Analytical,Low,Low,High,Medium,Low,Psychology,7,Medium,Medium,Medium,Low,Medium,Reading/Writing,0,High,Teaching,Urban,No,Bachelors,2.23,Construction,No,Yes,High,Routine,High,Low,0,Shifts,On-site,High,<30k,Innovation,No,6,Yes,Low,Low,Medium,Low,High,Software Developer
Medical,Collaborative,Creative,Low,Low,Low,Medium,Low,Physics,13,High,Low,Low,High,Medium,Reading/Writing,5,High,Sales,Urban,Yes,Masters,2.84,Retail,Yes,No,Medium,Dynamic,Medium,Low,4,Shifts,On-site,High,30kâ€“60k,Helping Others,Yes,16,No,Medium,Low,Medium,Low,High,Software Developer
Technology,Independent,Creative,Medium,Medium,Low,Medium,Low,Education,14,Medium,High,Medium,Medium,Low,Visual,2,Medium,Hospitality,Rural,Yes,PhD,2.95,Education,Yes,Yes,High,Dynamic,Medium,Medium,1,9â€“5,Hybrid,High,>100k,Recognition,Yes,18,Yes,Medium,High,High,Medium,High,Teaching
Sales,Flexible,Analytical,Low,Medium,Low,Medium,High,Statistics,11,Medium,Medium,Medium,Low,Medium,Auditory,4,Medium,Hospitality,Rural,Yes,PhD,2.6,Tech,No,Yes,Low,Routine,Medium,Low,5,Shifts,Hybrid,Medium,60kâ€“100k,Helping Others,Yes,2,Yes,Medium,Low,Low,Medium,Low,Software Developer
Technology,Independent,Strategic,High,High,Low,Low,Medium,Business Administration,12,High,Medium,Medium,High,Low,Reading/Writing,1,High,Legal,Urban,Yes,Diploma,3.16,Finance,Yes,No,High,Routine,Medium,High,0,Freelance,Remote,Low,<30k,Innovation,Yes,16,No,Medium,High,Medium,Medium,Low,Financial Planner
Sales,Collaborative,Practical,High,Low,Medium,Low,Low,Marketing,10,Low,Medium,High,High,Low,Visual,0,Low,Mathematics,Rural,Yes,Diploma,2.07,Tech,No,Yes,Low,Dynamic,High,Medium,4,Shifts,Hybrid,Medium,30kâ€“60k,Helping Others,Yes,13,Yes,High,High,High,Low,Low,Cybersecurity Analyst
Arts,Flexible,Strategic,Low,High,Low,Medium,Medium,Psychology,1,Medium,Medium,High,High,Medium,Kinesthetic,3,Low,Architecture,Rural,Yes,Bachelors,2.49,Arts,Yes,Yes,Low,Dynamic,High,Medium,8,Freelance,Hybrid,Low,30kâ€“60k,Security,No,15,No,Low,Low,Low,Low,High,Legal
Journalism,Flexible,Analytical,High,Low,Medium,High,Low,Economics,17,Medium,High,Medium,Low,High,Auditory,4,High,Lawyer,Rural,No,Masters,3.81,Tech,Yes,No,Medium,Routine,High,Medium,6,9â€“5,On-site,Low,60kâ€“100k,Innovation,No,0,Yes,Medium,Low,Low,High,High,Legal
Human Resources,Independent,Analytical,Low,High,Low,Medium,Low,Philosophy,4,Medium,Low,High,Medium,Low,Auditory,3,Medium,Marketing,Rural,No,Diploma,2.51,Finance,No,No,Medium,Dynamic,Low,Medium,8,Freelance,Remote,Low,<30k,Security,No,2,No,High,Medium,Medium,Low,Low,Actuary
Doctor,Flexible,Analytical,Medium,Low,High,High,High,Information Technology,7,Low,Low,High,Medium,High,Reading/Writing,0,Low,Marketing,Flexible,Yes,Diploma,2.88,Law,No,No,Low,Dynamic,Medium,Low,0,Freelance,On-site,Low,60kâ€“100k,Helping Others,Yes,4,Yes,Medium,Low,High,Low,Medium,Social Media Manager
Teaching,Independent,Analytical,High,Low,Medium,Medium,Low,Hospitality Management,19,Medium,Low,Medium,Low,Low,Kinesthetic,4,Low,Design,Urban,Yes,Diploma,3.63,Construction,No,Yes,High,Routine,Medium,High,4,Freelance,Remote,Low,<30k,Helping Others,Yes,4,No,Low,Low,Medium,Low,Low,Hotel Manager
Medical,Flexible,Practical,Medium,Medium,High,Medium,Low,Education,7,Low,Medium,Low,Low,Low,Visual,3,High,Arts,Flexible,Yes,Masters,3.72,Healthcare,Yes,No,Low,Dynamic,Medium,Low,5,Shifts,Remote,Low,60kâ€“100k,Helping Others,Yes,14,No,Medium,Low,High,High,Medium,Sales
Sales,Flexible,Analytical,Medium,Low,High,Medium,Medium,Information Technology,15,Medium,Medium,Low,Medium,Low,Kinesthetic,5,Medium,Arts,Flexible,Yes,Bachelors,3.07,Healthcare,No,Yes,Medium,Routine,High,High,9,Shifts,Hybrid,High,30kâ€“60k,Innovation,No,14,No,Low,Low,Medium,Medium,Low,Medical
Medical,Independent,Practical,Medium,Medium,High,Medium,Medium,Law,9,Medium,Medium,Low,High,Low,Auditory,0,Low,Medical,Flexible,No,PhD,2.49,Tech,Yes,Yes,High,Dynamic,High,Low,1,Shifts,Remote,High,>100k,Innovation,Yes,6,No,Low,High,Low,Medium,High,Entrepreneur
Journalism,Independent,Creative,Medium,Medium,Low,Low,Medium,Nursing,13,Medium,Low,Medium,Medium,Low,Auditory,1,Medium,Doctor,Flexible,No,Masters,3.83,Healthcare,Yes,No,High,Dynamic,Medium,High,8,Freelance,On-site,High,<30k,Recognition,No,2,Yes,Low,Low,Low,Low,Low,Biotechnologist
Architecture,Collaborative,Practical,High,High,Medium,High,Low,Engineering,0,Medium,High,High,Low,Medium,Kinesthetic,0,Low,Technology,Urban,Yes,Diploma,3.05,Retail,Yes,Yes,Low,Routine,Low,Medium,10,9â€“5,On-site,High,30kâ€“60k,Security,No,3,Yes,Low,Medium,High,Medium,Medium,Technical Writer
Arts,Collaborative,Analytical,High,Medium,Medium,Low,Low,Public Relations,1,Low,Medium,Low,High,Medium,Visual,4,Medium,Architecture,Flexible,No,Bachelors,2.1,Tech,No,Yes,Medium,Dynamic,High,High,8,Shifts,Remote,High,60kâ€“100k,Innovation,Yes,2,Yes,Medium,Medium,High,High,Low,Arts
Arts,Independent,Creative,High,Medium,High,Medium,Low,History,2,Medium,High,Medium,Medium,High,Visual,5,High,Public Relations,Rural,Yes,PhD,3.41,Finance,No,Yes,Low,Routine,High,Medium,1,9â€“5,Remote,High,30kâ€“60k,Helping Others,Yes,10,No,Low,Low,High,Medium,Low,Event Planner
Lawyer,Collaborative,Practical,Medium,High,Medium,High,Medium,Civil Engineering,17,Low,Low,Low,High,Medium,Reading/Writing,3,High,Arts,Flexible,No,Bachelors,3.65,Healthcare,No,Yes,Low,Routine,High,Low,2,9â€“5,On-site,Medium,>100k,Security,Yes,13,Yes,Low,High,High,Low,Medium,Software Developer
Journalism,Independent,Practical,Low,Medium,Low,High,Medium,Statistics,11,Medium,Low,Medium,High,High,Visual,4,High,Education,Urban,No,Bachelors,2.29,Retail,No,Yes,High,Routine,Medium,High,2,Shifts,Remote,Low,60kâ€“100k,Innovation,No,2,Yes,High,High,Low,Medium,Medium,Doctor
Doctor,Collaborative,Practical,High,Low,High,Medium,High,Mathematics,10,Medium,Medium,High,Low,Medium,Kinesthetic,0,Low,Legal,Rural,Yes,Masters,3.66,Law,No,Yes,Low,Routine,Low,Low,9,Shifts,Hybrid,High,30kâ€“60k,Innovation,Yes,8,Yes,Medium,Medium,High,Low,Low,Technology
Teaching,Independent,Strategic,High,High,Low,High,Medium,Physics,1,Medium,Medium,Medium,Medium,Low,Kinesthetic,0,High,Medical,Urban,Yes,Bachelors,2.35,Healthcare,No,No,Medium,Dynamic,High,Low,2,Shifts,On-site,Low,<30k,Security,Yes,15,Yes,Low,Low,Low,Low,Medium,SEO Specialist
Design,Independent,Practical,Medium,Medium,Medium,Low,Medium,Graphic Design,16,Low,Medium,Low,High,High,Visual,3,Medium,Human Resources,Rural,No,Diploma,3.01,Tech,Yes,Yes,Low,Dynamic,Medium,Medium,9,Shifts,Hybrid,Medium,<30k,Helping Others,No,8,No,Medium,Medium,High,High,Medium,Game Developer
Human Resources,Collaborative,Analytical,Medium,Medium,Medium,Medium,Low,Accounting,1,Medium,Low,Low,Low,High,Visual,5,Medium,Legal,Rural,No,PhD,2.59,Education,No,Yes,High,Dynamic,Low,High,0,Shifts,Hybrid,Medium,60kâ€“100k,Innovation,No,20,Yes,High,Medium,High,High,High,Investment Banker
Architecture,Flexible,Creative,Medium,High,High,High,Low,Chemistry,19,High,Medium,Medium,Low,Low,Kinesthetic,4,Medium,Engineering,Rural,Yes,PhD,2.36,Construction,No,Yes,High,Dynamic,Medium,High,1,9â€“5,Hybrid,Medium,30kâ€“60k,Innovation,No,15,No,High,Medium,Low,Medium,Medium,Sales
Arts,Flexible,Analytical,Medium,Medium,Medium,High,Low,Architecture,9,Low,Medium,Medium,Medium,Medium,Auditory,0,Medium,Education,Flexible,No,Diploma,2.29,Law,No,No,High,Routine,Low,Low,1,Shifts,On-site,High,60kâ€“100k,Innovation,Yes,17,No,Medium,Low,Low,Low,Medium,Geologist
Hospitality,Collaborative,Strategic,Medium,Low,Medium,High,Low,Marketing,7,High,High,Low,Medium,Medium,Visual,5,High,Consulting,Flexible,Yes,Diploma,3.07,Retail,Yes,No,Low,Routine,High,Medium,6,Freelance,Hybrid,High,30kâ€“60k,Innovation,Yes,6,No,Low,Low,Medium,Medium,Low,Design
Sales,Independent,Strategic,Medium,Medium,Low,Low,Medium,Law,20,High,Low,Low,Low,Low,Reading/Writing,5,Medium,Education,Rural,No,Diploma,2.03,Education,No,No,Medium,Dynamic,Medium,High,7,9â€“5,Hybrid,Medium,60kâ€“100k,Security,Yes,0,No,Medium,High,High,Low,Medium,Sales
Doctor,Collaborative,Analytical,Low,Low,Low,Medium,Low,Engineering,15,Low,High,Medium,Low,Low,Auditory,5,Low,Mathematics,Urban,Yes,Masters,3.29,Arts,No,No,Medium,Dynamic,Medium,Low,6,Freelance,Remote,Medium,>100k,Recognition,No,17,Yes,High,Medium,High,Low,High,Event Planner
Technology,Collaborative,Practical,Low,High,High,High,Low,Public Relations,2,Medium,Medium,Low,Medium,High,Auditory,0,High,Marketing,Flexible,No,Bachelors,2.07,Law,No,No,Low,Routine,High,High,0,Freelance,Hybrid,Medium,>100k,Security,No,8,No,High,Low,Low,Low,High,Medical
Technology,Collaborative,Strategic,Medium,Low,Medium,Medium,Low,Business Administration,15,Medium,Low,High,Low,Low,Reading/Writing,5,High,Engineering,Rural,No,Bachelors,3.51,Law,Yes,Yes,Low,Routine,Low,High,6,Shifts,On-site,High,>100k,Recognition,Yes,4,No,High,Low,High,Low,Low,Event Planner
Education,Flexible,Creative,Medium,Low,Medium,Low,Low,Business Administration,18,Medium,Medium,Medium,Medium,High,Auditory,5,Medium,Business,Flexible,Yes,Bachelors,2.22,Arts,No,Yes,High,Dynamic,Medium,High,10,Freelance,Remote,Low,60kâ€“100k,Helping Others,No,3,Yes,Medium,High,High,Medium,Low,Finance
Design,Flexible,Analytical,High,High,Medium,Medium,Medium,Hospitality Management,20,Low,High,Medium,Low,High,Reading/Writing,0,Low,Human Resources,Flexible,Yes,Diploma,3.22,Education,Yes,Yes,Medium,Routine,Medium,Medium,10,9â€“5,Hybrid,Medium,<30k,Helping Others,Yes,18,Yes,Medium,Medium,High,High,Low,Social Media Manager
Finance,Collaborative,Creative,Medium,Medium,Low,High,Medium,Medicine,16,High,High,High,Medium,Low,Reading/Writing,4,Medium,Consulting,Flexible,No,Diploma,2.58,Arts,No,Yes,High,Dynamic,Low,Low,0,9â€“5,Hybrid,High,30kâ€“60k,Recognition,No,1,Yes,High,Medium,Medium,Low,Low,Consulting
Lawyer,Independent,Analytical,Low,Medium,Low,Medium,Low,History,6,Low,High,High,Medium,High,Visual,3,Low,Consulting,Flexible,No,PhD,3.75,Arts,Yes,No,Low,Routine,High,Low,5,9â€“5,On-site,High,<30k,Security,No,9,Yes,High,High,High,Low,Medium,Event Planner
Public Relations,Flexible,Creative,Low,High,Medium,Medium,Low,Public Relations,7,Low,Low,Medium,Medium,Low,Auditory,2,Medium,Engineering,Flexible,Yes,Bachelors,3.37,Education,No,No,Low,Dynamic,Low,Medium,10,9â€“5,On-site,High,>100k,Innovation,Yes,0,No,Low,High,High,Medium,High,SEO Specialist
Public Relations,Flexible,Creative,Low,Medium,High,Medium,Low,Information Technology,5,Low,Medium,High,Medium,Low,Visual,4,Medium,Teaching,Flexible,Yes,Diploma,2.74,Finance,Yes,Yes,High,Routine,High,Low,6,9â€“5,Remote,Low,30kâ€“60k,Helping Others,Yes,2,No,Medium,Medium,Medium,Medium,Low,Sales
Architecture,Independent,Creative,High,High,Medium,Medium,Medium,Journalism,4,Low,Low,Low,Medium,High,Auditory,0,Low,Lawyer,Urban,Yes,PhD,3.23,Healthcare,Yes,No,High,Dynamic,Low,Low,7,9â€“5,On-site,Medium,<30k,Innovation,Yes,13,Yes,High,High,High,High,High,Journalism
Consulting,Independent,Analytical,Low,Low,Low,Low,Low,Sociology,14,Medium,Medium,Medium,Low,High,Visual,3,High,Medical,Flexible,Yes,Masters,3.86,Education,Yes,No,High,Routine,Low,High,5,Freelance,Remote,Low,30kâ€“60k,Security,Yes,18,Yes,Low,Medium,Medium,High,High,AI Researcher
Design,Independent,Analytical,Low,Low,High,High,Medium,Physics,14,High,Medium,Medium,Medium,Medium,Reading/Writing,1,Low,Design,Flexible,Yes,PhD,3.97,Arts,No,No,High,Dynamic,Low,Medium,7,Freelance,Hybrid,Low,60kâ€“100k,Recognition,No,1,No,Low,High,High,Low,High,Dentist
Legal,Independent,Analytical,Medium,Medium,Low,High,High,Law,12,Medium,Medium,Medium,Low,Medium,Visual,1,Medium,Design,Flexible,No,PhD,3.85,Tech,No,No,Medium,Dynamic,Medium,Medium,4,9â€“5,Hybrid,High,<30k,Innovation,No,3,Yes,Medium,High,Medium,Low,Medium,Entrepreneur
Hospitality,Independent,Strategic,Low,Low,Low,High,Medium,Psychology,14,High,High,Low,Low,Medium,Kinesthetic,0,Medium,Medical,Rural,Yes,Bachelors,3.73,Education,Yes,Yes,Medium,Routine,Medium,Medium,10,9â€“5,Remote,Medium,30kâ€“60k,Security,No,6,No,Medium,Medium,High,High,Low,Dentist
Engineering,Flexible,Practical,Medium,Medium,Medium,Low,Low,Accounting,20,Low,Medium,High,Medium,Medium,Kinesthetic,4,Medium,Hospitality,Urban,No,Masters,2.39,Arts,No,No,High,Routine,Medium,Low,10,Shifts,Remote,High,30kâ€“60k,Security,Yes,11,Yes,Medium,High,Low,Low,Low,Geologist
Engineering,Flexible,Strategic,Medium,Low,Medium,Medium,Low,Fine Arts,18,High,High,Low,Low,High,Auditory,3,Low,Legal,Urban,No,Masters,2.97,Finance,No,Yes,Medium,Routine,High,High,1,Freelance,Remote,High,>100k,Innovation,No,3,No,High,Low,Low,Medium,Low,Marketing
Legal,Collaborative,Strategic,Medium,Medium,High,Medium,Medium,Fine Arts,6,Medium,Low,High,Low,Medium,Visual,1,Medium,Doctor,Urban,No,Masters,3.3,Healthcare,No,Yes,Low,Routine,Medium,Low,2,9â€“5,Remote,Medium,60kâ€“100k,Security,No,11,No,High,High,High,Low,Medium,Sales
Human Resources,Flexible,Practical,High,High,Medium,Low,Low,Information Technology,12,High,Medium,Low,Medium,Low,Auditory,2,Medium,Engineering,Flexible,Yes,Diploma,2.27,Retail,No,Yes,Low,Routine,High,Medium,3,Shifts,On-site,Medium,60kâ€“100k,Innovation,No,12,Yes,High,Medium,Medium,High,Medium,Public Relations
Journalism,Collaborative,Practical,Low,Medium,Medium,Medium,Low,Economics,6,Medium,Low,Medium,Low,High,Visual,0,Medium,Mathematics,Flexible,No,Bachelors,3.48,Tech,No,No,Medium,Routine,High,Low,0,Freelance,On-site,High,30kâ€“60k,Security,Yes,6,No,High,High,High,Medium,High,Astronomer
Engineering,Flexible,Creative,Low,Low,Low,High,Medium,Computer Science,11,Low,Low,Low,Medium,Medium,Visual,0,Medium,Finance,Urban,Yes,PhD,2.76,Arts,Yes,Yes,Low,Routine,Medium,High,10,Shifts,Remote,Low,60kâ€“100k,Helping Others,Yes,4,No,Medium,High,Medium,Low,Medium,AI Researcher
Human Resources,Independent,Practical,Low,Low,Medium,Low,Medium,Computer Science,4,High,High,Low,Medium,High,Visual,3,Medium,Hospitality,Flexible,Yes,PhD,2.4,Finance,No,Yes,Medium,Dynamic,Low,Low,10,Freelance,Remote,Low,>100k,Helping Others,No,14,Yes,Medium,Low,High,Low,Low,Chef
Public Relations,Independent,Strategic,Medium,Low,Low,Low,Medium,Computer Science,14,High,Medium,Low,Low,Medium,Kinesthetic,2,Low,Journalism,Flexible,No,PhD,2.71,Education,Yes,No,Low,Routine,Low,Low,8,Freelance,Remote,Medium,60kâ€“100k,Helping Others,Yes,9,No,Low,Low,Medium,Low,Low,Pharmacist
Lawyer,Independent,Creative,High,Medium,High,Low,Low,Finance,20,High,High,Medium,Low,Medium,Kinesthetic,0,High,Arts,Flexible,No,Masters,3.45,Law,Yes,Yes,High,Dynamic,High,High,10,9â€“5,Hybrid,Low,>100k,Recognition,Yes,20,No,Medium,Low,Medium,High,High,Engineering
Sales,Collaborative,Practical,Medium,Low,High,Low,Medium,Accounting,15,Low,Low,Low,Low,Medium,Kinesthetic,2,Medium,Marketing,Flexible,No,Bachelors,2.78,Construction,No,No,High,Routine,High,High,1,9â€“5,Remote,Low,30kâ€“60k,Helping Others,No,15,No,Medium,Medium,Medium,Medium,High,Human Resources
Consulting,Independent,Analytical,Medium,Medium,Low,High,Low,Political Science,5,Medium,Low,Low,Low,Medium,Auditory,1,Medium,Education,Rural,Yes,Masters,2.97,Law,Yes,No,Medium,Routine,Medium,Low,8,Shifts,Hybrid,High,30kâ€“60k,Helping Others,No,2,Yes,Low,Medium,Medium,Low,High,Financial Planner
Arts,Flexible,Practical,Low,Low,High,High,Medium,Physics,15,High,Low,High,Medium,Low,Auditory,5,Medium,Consulting,Urban,Yes,Bachelors,3.7,Retail,No,No,High,Routine,Medium,Medium,3,9â€“5,Hybrid,High,30kâ€“60k,Innovation,Yes,16,Yes,High,Medium,High,Medium,Medium,Teaching
Business,Independent,Practical,Medium,Low,Medium,Medium,Medium,Finance,19,Low,Low,Low,High,High,Kinesthetic,4,Low,Architecture,Urban,Yes,Bachelors,3.38,Finance,No,Yes,Low,Dynamic,Medium,High,7,Shifts,Remote,High,>100k,Innovation,No,8,No,Low,Low,Low,High,High,Chef
Arts,Independent,Strategic,Medium,High,High,High,Low,History,6,High,High,Medium,Medium,Medium,Kinesthetic,3,Medium,Finance,Urban,Yes,Masters,3.91,Finance,No,No,Low,Dynamic,Medium,Medium,5,Freelance,Hybrid,Low,<30k,Helping Others,No,11,Yes,Medium,Medium,Medium,Low,Medium,Finance
Mathematics,Collaborative,Practical,Low,High,High,High,Low,Sociology,5,High,Medium,Low,Medium,Low,Kinesthetic,1,Medium,Hospitality,Rural,Yes,Masters,2.3,Healthcare,No,Yes,Low,Routine,Medium,Medium,9,Freelance,On-site,High,30kâ€“60k,Security,No,2,Yes,High,High,Medium,Medium,Medium,Design
Doctor,Collaborative,Analytical,High,Low,Low,Medium,Low,Engineering,9,High,Medium,Medium,High,Medium,Kinesthetic,0,High,Public Relations,Urban,No,Masters,3.64,Construction,Yes,No,High,Routine,Low,Medium,7,Freelance,Hybrid,Low,<30k,Recognition,No,12,Yes,Low,Medium,Low,Medium,Low,Doctor
Consulting,Collaborative,Analytical,Medium,Medium,Low,High,Medium,Fine Arts,9,High,Medium,Medium,Low,Low,Kinesthetic,5,Medium,Architecture,Flexible,No,PhD,2.35,Healthcare,No,No,Low,Routine,High,Medium,7,9â€“5,Hybrid,High,>100k,Innovation,No,12,No,Low,Medium,Medium,Medium,High,Education
Mathematics,Independent,Analytical,High,Low,Medium,Medium,High,Biology,14,Medium,High,Medium,High,Low,Reading/Writing,3,High,Engineering,Rural,Yes,Masters,2.04,Finance,Yes,Yes,Medium,Routine,Medium,Medium,9,Shifts,Remote,Medium,60kâ€“100k,Helping Others,No,20,Yes,High,Medium,Medium,Low,Low,Architecture
Design,Collaborative,Analytical,Low,Medium,Medium,Medium,Medium,Chemistry,20,High,Low,Low,Medium,Low,Visual,0,Medium,Consulting,Rural,No,Bachelors,2.08,Education,Yes,No,Low,Dynamic,Medium,Low,10,9â€“5,Hybrid,Low,30kâ€“60k,Security,No,14,Yes,Medium,High,Low,Medium,High,Architecture
