Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Salary_Expectation,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Event Photographer,Collaborative,Creative,low,low,medium,medium,medium,Arts/Hospitality,1,medium,medium,medium,medium,medium,Kinesthetic,5,medium,Achieve success as a Event Photographer.,rural,yes,PhD,3.24,no,yes,low,high,medium,1,9to5,hybrid,99774,yes,0,no,low,low,high,medium,low,Event Photographer
Industrial Engineer,Independent,Strategic,low,high,medium,medium,low,Engineering,10,high,medium,high,high,low,Kinesthetic,4,high,Achieve success as a Industrial Engineer.,rural,no,master,3.78,yes,no,high,low,medium,6,9to5,hybrid,77498,yes,8,yes,high,medium,medium,high,medium,Industrial Engineer
Chiropractor,Independent,Strategic,medium,low,high,medium,low,Health Sciences,4,medium,high,medium,medium,high,Kinesthetic,0,high,Achieve success as a Chiropractor.,rural,yes,bachelor,2.37,no,yes,medium,high,medium,0,shifts,remote,96747,no,9,yes,medium,high,low,low,medium,Chiropractor
Marketing Copywriter,Independent,Creative,high,low,medium,high,medium,Computer Science/IT,10,high,low,low,medium,low,Visual,1,high,Achieve success as a Marketing Copywriter.,rural,yes,PhD,3.71,yes,no,high,low,medium,6,9to5,hybrid,76771,yes,3,no,high,low,medium,high,low,Marketing Copywriter
Research Scientist,Flexible,Analytical,high,high,medium,low,high,Science,0,high,medium,medium,high,high,Reading/Writing,4,low,Achieve success as a Research Scientist.,flexible,yes,diploma,3.44,no,no,high,high,low,6,9to5,remote,92451,yes,0,yes,medium,high,high,low,low,Research Scientist
Customs and Border Protection Officer,Collaborative,Analytical,low,medium,high,low,low,Other,4,low,medium,medium,high,low,Reading/Writing,4,medium,Achieve success as a Customs and Border Protection Officer.,flexible,no,diploma,3.54,yes,yes,low,high,medium,8,shifts,hybrid,69235,yes,6,yes,high,low,low,high,medium,Customs and Border Protection Officer
Radiologic Technologist,Collaborative,Analytical,high,medium,medium,high,medium,Computer Science/IT,3,low,medium,low,high,low,Kinesthetic,1,high,Achieve success as a Radiologic Technologist.,rural,no,bachelor,3.12,yes,no,medium,low,high,2,shifts,remote,93569,no,3,no,low,medium,low,medium,high,Radiologic Technologist
Biotechnologist,Flexible,Strategic,high,high,low,medium,medium,Computer Science/IT,6,low,medium,high,medium,low,Auditory,2,high,Achieve success as a Biotechnologist.,urban,no,bachelor,2.99,yes,no,low,medium,medium,1,freelance,remote,78448,yes,6,no,high,high,high,low,low,Biotechnologist
Urban Planner,Independent,Strategic,high,low,low,medium,medium,Finance/Accounting,3,high,low,medium,low,medium,Kinesthetic,0,low,Achieve success as a Urban Planner.,rural,no,bachelor,3.58,no,no,high,medium,medium,1,freelance,hybrid,97941,yes,8,yes,medium,medium,low,medium,high,Urban Planner
Technical Writer,Independent,Creative,medium,medium,medium,medium,medium,Computer Science/IT,8,high,high,medium,medium,medium,Auditory,0,high,Achieve success as a Technical Writer.,flexible,no,bachelor,3.47,no,no,high,medium,high,5,freelance,onsite,61384,yes,3,no,low,low,low,medium,medium,Technical Writer
Biotechnologist,Independent,Strategic,low,low,high,high,high,Computer Science/IT,6,medium,high,high,high,low,Auditory,4,low,Achieve success as a Biotechnologist.,urban,yes,master,2.99,yes,no,high,medium,low,2,freelance,hybrid,91887,yes,8,yes,medium,high,high,low,high,Biotechnologist
Product Manager,Independent,Creative,high,high,low,medium,medium,Other,0,medium,medium,medium,high,low,Kinesthetic,2,medium,Achieve success as a Product Manager.,rural,yes,PhD,3.27,no,yes,medium,low,low,0,9to5,onsite,60292,yes,6,yes,low,low,low,high,low,Product Manager
Wildlife Biologist,Collaborative,Strategic,high,medium,low,medium,low,Science,4,low,high,low,low,low,Kinesthetic,4,low,Achieve success as a Wildlife Biologist.,flexible,no,bachelor,3.56,no,no,medium,high,low,9,shifts,hybrid,64435,yes,7,no,low,low,high,high,low,Wildlife Biologist
Diplomat,Collaborative,Strategic,high,medium,medium,high,low,Other,1,low,high,low,high,low,Auditory,2,high,Achieve success as a Diplomat.,flexible,no,bachelor,3.49,yes,yes,high,low,low,4,freelance,onsite,64127,no,10,no,low,low,low,low,low,Diplomat
Journalist,Flexible,Creative,high,medium,high,low,low,Communications/Marketing,6,medium,medium,medium,low,medium,Kinesthetic,5,high,Achieve success as a Journalist.,flexible,yes,bachelor,3.92,no,yes,medium,low,medium,5,freelance,hybrid,69681,no,5,no,high,medium,low,high,high,Journalist
Market Researcher,Flexible,Creative,medium,low,low,high,high,Other,5,high,medium,low,low,high,Visual,5,medium,Achieve success as a Market Researcher.,urban,no,bachelor,2.39,no,yes,low,high,low,7,freelance,hybrid,97527,no,7,no,high,high,high,low,medium,Market Researcher
Financial Advisor,Flexible,Analytical,low,medium,medium,high,high,Finance/Accounting,6,medium,medium,low,medium,low,Visual,0,medium,Achieve success as a Financial Advisor.,flexible,no,master,3.62,yes,no,medium,low,low,6,shifts,onsite,88706,yes,3,no,low,low,low,high,high,Financial Advisor
Zoologist,Independent,Creative,low,high,high,high,medium,Other,3,medium,low,low,medium,high,Reading/Writing,1,low,Achieve success as a Zoologist.,flexible,no,PhD,2.61,no,yes,high,medium,low,7,shifts,onsite,70123,yes,9,yes,low,medium,high,high,low,Zoologist
Sports Coach,Flexible,Strategic,low,high,high,high,high,Other,1,high,medium,high,medium,high,Reading/Writing,2,medium,Achieve success as a Sports Coach.,rural,yes,PhD,3.01,yes,yes,medium,medium,high,4,9to5,remote,67021,yes,3,no,low,high,low,medium,high,Sports Coach
Forensic Psychologist,Independent,Strategic,medium,low,low,high,medium,Other,1,high,medium,low,medium,high,Kinesthetic,1,high,Achieve success as a Forensic Psychologist.,rural,no,bachelor,3.9,no,no,high,medium,medium,3,shifts,remote,87857,no,3,yes,low,high,medium,low,high,Forensic Psychologist
Tax Collector,Collaborative,Creative,high,high,low,low,high,Other,6,low,high,low,high,medium,Auditory,1,low,Achieve success as a Tax Collector.,flexible,yes,master,2.93,yes,yes,medium,medium,high,4,shifts,onsite,93615,yes,4,no,high,medium,low,high,medium,Tax Collector
IT Support Specialist,Independent,Creative,medium,medium,medium,high,low,Computer Science/IT,2,low,medium,high,medium,medium,Reading/Writing,5,medium,Achieve success as a IT Support Specialist.,rural,no,master,2.35,yes,yes,medium,low,medium,1,shifts,onsite,99121,yes,2,no,high,low,high,high,low,IT Support Specialist
Police Detective,Independent,Strategic,medium,low,low,high,medium,Other,4,high,medium,high,high,high,Auditory,3,medium,Achieve success as a Police Detective.,flexible,no,PhD,3.02,yes,yes,high,low,medium,6,freelance,remote,87021,no,9,yes,medium,low,low,medium,high,Police Detective
HR Recruiter,Independent,Strategic,medium,high,high,medium,high,Computer Science/IT,9,medium,medium,high,low,high,Visual,4,medium,Achieve success as a HR Recruiter.,urban,yes,bachelor,2.67,yes,no,low,medium,low,9,shifts,hybrid,67234,yes,0,yes,low,low,low,high,high,HR Recruiter
Forensic Psychologist,Independent,Creative,medium,high,medium,medium,low,Other,5,medium,high,medium,low,medium,Kinesthetic,0,high,Achieve success as a Forensic Psychologist.,rural,yes,diploma,2.9,yes,no,medium,low,low,3,freelance,hybrid,74888,yes,10,no,high,medium,high,high,medium,Forensic Psychologist
Teacher,Collaborative,Analytical,high,low,high,low,high,Education/Social Sciences,0,low,low,low,medium,high,Auditory,0,low,Achieve success as a Teacher.,flexible,yes,diploma,3.28,no,no,medium,medium,low,10,shifts,onsite,89609,yes,10,yes,medium,medium,medium,medium,low,Teacher
Zoologist,Independent,Analytical,high,medium,high,medium,low,Other,0,low,medium,low,low,low,Reading/Writing,5,low,Achieve success as a Zoologist.,flexible,no,bachelor,2.28,yes,no,high,medium,high,4,shifts,hybrid,62422,no,7,yes,high,high,medium,medium,medium,Zoologist
Biomedical Engineer,Collaborative,Strategic,low,high,high,medium,medium,Engineering,7,medium,low,low,medium,high,Visual,2,low,Achieve success as a Biomedical Engineer.,rural,yes,diploma,2.38,yes,no,high,medium,low,2,shifts,onsite,83263,no,1,yes,low,medium,medium,medium,high,Biomedical Engineer
Biologist,Independent,Strategic,medium,low,medium,high,low,Science,4,high,high,medium,medium,medium,Kinesthetic,0,medium,Achieve success as a Biologist.,urban,no,PhD,2.62,yes,yes,high,low,medium,1,shifts,hybrid,96666,no,9,no,low,low,medium,high,high,Biologist
Pediatric Nurse,Flexible,Creative,low,low,medium,medium,high,Health Sciences,6,high,high,high,low,low,Kinesthetic,3,high,Achieve success as a Pediatric Nurse.,rural,yes,master,3.82,yes,yes,low,low,high,1,9to5,onsite,86494,no,4,no,low,high,high,medium,medium,Pediatric Nurse
Marketing Analyst,Independent,Strategic,low,medium,high,medium,high,Finance/Accounting,5,low,low,medium,medium,high,Reading/Writing,0,high,Achieve success as a Marketing Analyst.,flexible,yes,PhD,3.58,yes,yes,high,medium,medium,6,freelance,onsite,84095,yes,10,no,high,low,high,high,high,Marketing Analyst
Marriage Counselor,Collaborative,Analytical,medium,medium,medium,high,high,Education/Social Sciences,4,low,medium,medium,high,low,Kinesthetic,4,low,Achieve success as a Marriage Counselor.,urban,yes,PhD,2.53,yes,no,low,low,high,4,9to5,onsite,84807,yes,1,yes,medium,medium,medium,high,high,Marriage Counselor
Game Developer,Independent,Creative,low,high,medium,low,high,Computer Science/IT,0,medium,low,low,high,high,Visual,3,low,Achieve success as a Game Developer.,rural,no,master,2.48,no,no,high,medium,high,5,freelance,remote,93751,yes,4,yes,high,high,low,medium,medium,Game Developer
Database Administrator,Flexible,Creative,medium,medium,medium,low,high,Computer Science/IT,5,high,high,medium,low,low,Reading/Writing,3,high,Achieve success as a Database Administrator.,flexible,no,PhD,2.51,yes,no,low,high,medium,10,9to5,remote,95469,no,5,yes,low,low,low,high,high,Database Administrator
Civil Engineer,Collaborative,Creative,medium,low,low,low,low,Engineering,6,low,medium,medium,medium,high,Visual,4,low,Achieve success as a Civil Engineer.,flexible,yes,master,2.28,no,no,low,medium,high,10,freelance,onsite,88504,no,10,yes,low,low,low,medium,medium,Civil Engineer
Nurse,Independent,Creative,low,medium,low,low,high,Health Sciences,3,medium,medium,medium,low,medium,Auditory,3,high,Achieve success as a Nurse.,rural,no,PhD,3.7,yes,yes,medium,medium,low,3,9to5,onsite,92359,yes,0,yes,medium,high,high,high,high,Nurse
Wildlife Biologist,Independent,Strategic,low,low,high,low,medium,Science,10,high,high,low,medium,high,Visual,3,low,Achieve success as a Wildlife Biologist.,rural,no,diploma,2.85,no,no,medium,medium,high,3,freelance,onsite,74357,no,8,yes,low,high,high,low,medium,Wildlife Biologist
Market Research Analyst,Independent,Creative,high,high,high,low,high,Finance/Accounting,4,medium,low,high,low,medium,Reading/Writing,3,low,Achieve success as a Market Research Analyst.,rural,yes,bachelor,3.74,no,no,low,low,low,0,9to5,remote,64587,no,10,no,medium,low,low,medium,low,Market Research Analyst
Financial Planner,Flexible,Strategic,medium,medium,medium,medium,high,Finance/Accounting,0,low,high,high,high,high,Reading/Writing,3,medium,Achieve success as a Financial Planner.,flexible,yes,diploma,2.75,yes,yes,low,high,medium,10,shifts,onsite,63471,no,3,no,low,high,low,high,high,Financial Planner
Journalist,Independent,Analytical,low,high,high,low,medium,Communications/Marketing,0,medium,high,low,low,medium,Visual,5,high,Achieve success as a Journalist.,flexible,yes,diploma,2.34,no,no,low,low,high,4,shifts,onsite,66301,yes,4,yes,high,high,high,low,medium,Journalist
Research Scientist,Collaborative,Strategic,medium,medium,low,low,high,Science,5,medium,low,low,medium,high,Reading/Writing,0,high,Achieve success as a Research Scientist.,rural,no,master,2.02,no,yes,medium,high,medium,6,shifts,hybrid,62699,no,9,no,medium,medium,low,high,medium,Research Scientist
IT Project Manager,Independent,Strategic,medium,low,low,low,medium,Computer Science/IT,10,medium,high,low,high,low,Reading/Writing,2,high,Achieve success as a IT Project Manager.,rural,yes,master,2.06,no,yes,high,medium,high,0,9to5,remote,89603,yes,3,yes,low,low,low,medium,low,IT Project Manager
Event Planner,Flexible,Analytical,high,low,high,high,medium,Finance/Accounting,0,high,low,low,medium,low,Kinesthetic,2,high,Achieve success as a Event Planner.,urban,no,bachelor,3.27,yes,no,medium,low,low,6,9to5,remote,80603,yes,0,no,high,low,low,low,low,Event Planner
Customs and Border Protection Officer,Collaborative,Strategic,low,medium,medium,low,medium,Other,6,high,low,medium,low,medium,Kinesthetic,2,medium,Achieve success as a Customs and Border Protection Officer.,rural,yes,PhD,3.77,no,no,medium,low,low,6,shifts,hybrid,73383,no,9,yes,low,low,medium,medium,low,Customs and Border Protection Officer
Fashion Designer,Independent,Analytical,low,medium,low,medium,medium,Engineering,10,medium,low,high,low,medium,Auditory,5,high,Achieve success as a Fashion Designer.,flexible,yes,diploma,2.7,no,yes,low,high,medium,10,9to5,onsite,85238,no,9,no,medium,medium,low,low,high,Fashion Designer
Market Researcher,Independent,Strategic,high,low,high,low,low,Other,9,medium,medium,medium,low,high,Auditory,4,medium,Achieve success as a Market Researcher.,rural,no,bachelor,3.64,no,yes,low,high,low,8,shifts,remote,62628,yes,1,no,medium,high,medium,high,high,Market Researcher
Customs and Border Protection Officer,Independent,Analytical,low,medium,medium,medium,high,Other,4,medium,high,medium,high,high,Kinesthetic,3,high,Achieve success as a Customs and Border Protection Officer.,flexible,yes,PhD,2.11,yes,no,medium,medium,low,7,9to5,hybrid,83503,yes,1,no,medium,low,low,high,medium,Customs and Border Protection Officer
Aerospace Engineer,Collaborative,Strategic,medium,medium,low,low,high,Engineering,5,low,medium,high,medium,low,Auditory,5,medium,Achieve success as a Aerospace Engineer.,flexible,no,PhD,3.39,yes,yes,medium,medium,high,1,9to5,hybrid,67864,yes,9,no,medium,low,medium,medium,medium,Aerospace Engineer
Dental Hygienist,Flexible,Strategic,medium,high,low,low,high,Other,0,high,medium,low,low,low,Auditory,0,low,Achieve success as a Dental Hygienist.,rural,yes,master,2.32,yes,no,medium,medium,low,9,9to5,hybrid,75499,no,6,yes,high,low,medium,medium,high,Dental Hygienist
Game Developer,Collaborative,Strategic,low,high,medium,high,medium,Computer Science/IT,3,low,high,high,medium,low,Kinesthetic,2,high,Achieve success as a Game Developer.,flexible,no,diploma,3.6,no,yes,high,low,high,6,9to5,remote,77283,no,5,no,high,medium,medium,high,low,Game Developer
Dental Hygienist,Collaborative,Strategic,low,low,low,high,medium,Other,10,medium,medium,low,low,medium,Visual,4,low,Achieve success as a Dental Hygienist.,urban,no,master,3.86,yes,yes,medium,high,medium,8,freelance,onsite,62883,yes,1,yes,medium,low,low,medium,high,Dental Hygienist
Quality Control Inspector,Flexible,Creative,low,low,high,medium,medium,Computer Science/IT,0,medium,high,medium,high,medium,Kinesthetic,1,high,Achieve success as a Quality Control Inspector.,rural,yes,PhD,3.52,yes,yes,medium,high,low,7,shifts,hybrid,73797,yes,2,no,medium,high,high,medium,low,Quality Control Inspector
Tax Collector,Independent,Strategic,high,high,low,medium,high,Other,5,high,high,low,high,high,Auditory,1,medium,Achieve success as a Tax Collector.,flexible,no,PhD,3.98,yes,yes,medium,low,medium,8,shifts,remote,87754,yes,1,no,low,high,high,high,medium,Tax Collector
Speech Therapist,Collaborative,Analytical,medium,low,medium,medium,low,Health Sciences,1,high,medium,medium,low,high,Auditory,0,medium,Achieve success as a Speech Therapist.,rural,no,diploma,2.84,no,yes,medium,medium,low,5,freelance,hybrid,68808,no,0,no,high,low,low,low,medium,Speech Therapist
Mechanical Engineer,Independent,Strategic,medium,medium,high,low,high,Engineering,10,low,high,medium,high,high,Auditory,5,medium,Achieve success as a Mechanical Engineer.,rural,no,diploma,3.3,yes,no,medium,low,low,5,9to5,remote,94501,no,5,no,medium,high,medium,high,low,Mechanical Engineer
Elementary School Teacher,Flexible,Analytical,low,high,medium,medium,high,Education/Social Sciences,8,low,low,low,low,medium,Visual,4,medium,Achieve success as a Elementary School Teacher.,urban,yes,diploma,2.13,yes,yes,medium,high,high,3,9to5,hybrid,78396,yes,7,no,medium,medium,medium,low,low,Elementary School Teacher
Physical Therapist,Collaborative,Analytical,low,high,high,high,low,Health Sciences,10,medium,high,medium,low,low,Kinesthetic,0,medium,Achieve success as a Physical Therapist.,rural,yes,bachelor,2.12,yes,yes,high,high,medium,8,9to5,remote,97650,no,10,no,low,high,low,medium,medium,Physical Therapist
Speech Pathologist,Flexible,Analytical,high,high,low,medium,medium,Other,1,medium,medium,medium,medium,low,Visual,0,low,Achieve success as a Speech Pathologist.,urban,yes,bachelor,2.74,no,no,medium,high,high,4,9to5,hybrid,94255,no,4,no,low,medium,high,medium,low,Speech Pathologist
Public Health Analyst,Collaborative,Analytical,low,low,medium,high,high,Finance/Accounting,7,medium,low,high,medium,low,Kinesthetic,2,medium,Achieve success as a Public Health Analyst.,flexible,yes,diploma,3.46,no,yes,medium,high,low,5,freelance,remote,82568,no,6,yes,low,medium,low,high,high,Public Health Analyst
Elementary School Teacher,Flexible,Strategic,medium,medium,high,high,medium,Education/Social Sciences,7,high,medium,high,high,high,Auditory,1,medium,Achieve success as a Elementary School Teacher.,rural,no,PhD,2.4,no,yes,high,high,high,10,9to5,hybrid,62589,no,2,yes,high,high,high,high,low,Elementary School Teacher
Environmental Engineer,Flexible,Strategic,low,high,high,high,high,Engineering,8,low,medium,medium,medium,low,Kinesthetic,1,low,Achieve success as a Environmental Engineer.,rural,no,PhD,2.8,no,yes,low,medium,low,2,shifts,hybrid,96601,no,4,yes,high,low,high,high,high,Environmental Engineer
Speech Therapist,Flexible,Creative,low,high,high,low,low,Health Sciences,5,low,low,high,high,medium,Kinesthetic,1,medium,Achieve success as a Speech Therapist.,flexible,no,master,2.77,yes,yes,high,medium,low,1,freelance,onsite,61556,no,2,yes,medium,medium,medium,medium,high,Speech Therapist
Database Administrator,Independent,Analytical,low,high,high,medium,medium,Computer Science/IT,4,low,high,high,low,low,Auditory,1,low,Achieve success as a Database Administrator.,flexible,no,bachelor,3.19,no,no,high,low,medium,7,freelance,onsite,93082,yes,7,yes,low,high,low,medium,medium,Database Administrator
Occupational Therapist,Flexible,Creative,high,high,low,low,low,Health Sciences,8,high,high,high,medium,high,Reading/Writing,4,low,Achieve success as a Occupational Therapist.,urban,yes,master,3.64,no,yes,low,high,low,2,shifts,remote,76286,no,9,yes,high,low,low,low,high,Occupational Therapist
Insurance Underwriter,Collaborative,Analytical,high,medium,high,high,medium,Computer Science/IT,7,high,high,medium,medium,medium,Reading/Writing,2,high,Achieve success as a Insurance Underwriter.,urban,yes,bachelor,2.81,no,yes,high,medium,high,8,9to5,hybrid,66654,yes,8,yes,high,medium,high,high,medium,Insurance Underwriter
Graphic Designer,Flexible,Creative,medium,medium,low,medium,low,Engineering,0,low,medium,high,high,medium,Kinesthetic,2,high,Achieve success as a Graphic Designer.,flexible,no,master,2.79,yes,no,medium,low,medium,0,freelance,hybrid,74527,yes,8,yes,medium,medium,high,low,high,Graphic Designer
Customs and Border Protection Officer,Independent,,low,high,low,high,high,Other,0,high,medium,low,high,medium,Kinesthetic,5,medium,Achieve success as a Customs and Border Protection Officer.,flexible,no,diploma,3.29,yes,no,high,low,low,10,shifts,onsite,61687,yes,2,no,low,low,low,medium,low,Customs and Border Protection Officer
Biotechnologist,Flexible,Analytical,low,medium,high,low,medium,Computer Science/IT,2,high,low,medium,medium,high,Reading/Writing,3,high,Achieve success as a Biotechnologist.,rural,no,PhD,2.53,no,no,medium,low,high,5,9to5,remote,79708,no,1,yes,high,medium,medium,low,low,Biotechnologist
Air Traffic Controller,Collaborative,Analytical,high,medium,high,medium,medium,Aviation,8,medium,medium,high,low,low,Kinesthetic,2,high,Achieve success as a Air Traffic Controller.,urban,no,diploma,2.02,no,yes,low,high,low,7,shifts,remote,71867,yes,1,no,high,medium,medium,high,high,Air Traffic Controller
Urban Planner,Collaborative,Creative,high,high,medium,low,low,Finance/Accounting,9,medium,medium,low,high,medium,Visual,5,high,Achieve success as a Urban Planner.,urban,yes,master,2.32,no,no,low,high,high,3,9to5,hybrid,62634,yes,8,no,medium,high,medium,low,medium,Urban Planner
Administrative Officer,Collaborative,Creative,low,low,high,medium,low,Other,7,low,high,low,low,high,Auditory,5,low,Achieve success as a Administrative Officer.,rural,no,diploma,3.19,no,yes,low,high,medium,2,freelance,remote,97253,yes,2,no,high,medium,medium,high,low,Administrative Officer
Social Media Manager,Collaborative,Strategic,high,medium,low,medium,low,Other,4,medium,medium,high,medium,high,Reading/Writing,1,high,Achieve success as a Social Media Manager.,urban,yes,master,2.45,yes,yes,medium,medium,high,4,freelance,onsite,85579,no,8,yes,medium,medium,low,high,low,Social Media Manager
Accountant,Independent,Analytical,low,high,medium,high,low,Finance/Accounting,2,low,low,medium,high,high,Kinesthetic,0,medium,Achieve success as a Accountant.,rural,yes,master,2.56,yes,no,low,high,high,10,9to5,hybrid,83450,no,3,no,high,medium,high,high,high,Accountant
Pediatrician,Collaborative,Analytical,medium,medium,high,high,low,Other,5,low,low,low,low,high,Auditory,5,medium,Achieve success as a Pediatrician.,flexible,no,PhD,2.37,yes,yes,high,medium,low,2,freelance,onsite,74536,no,9,no,high,high,high,medium,medium,Pediatrician
Aerospace Engineer,Collaborative,Creative,low,high,high,high,high,Engineering,8,low,low,low,high,high,Reading/Writing,2,low,Achieve success as a Aerospace Engineer.,flexible,no,master,2,yes,yes,low,medium,low,7,freelance,remote,60289,yes,7,no,high,high,high,medium,medium,Aerospace Engineer
Database Analyst,Collaborative,Strategic,low,medium,medium,low,high,Computer Science/IT,1,high,medium,medium,high,high,Reading/Writing,1,low,Achieve success as a Database Analyst.,urban,no,diploma,2.36,yes,no,medium,low,low,2,shifts,hybrid,84444,no,0,yes,low,medium,medium,low,high,Database Analyst
Social Media Manager,Collaborative,Creative,medium,low,low,low,high,Other,3,low,high,high,medium,low,Visual,1,low,Achieve success as a Social Media Manager.,flexible,yes,bachelor,3.44,no,yes,medium,low,high,3,freelance,remote,77741,yes,6,no,high,high,low,high,medium,Social Media Manager
Wildlife Conservationist,Collaborative,Strategic,high,low,high,medium,medium,Other,1,low,high,medium,medium,low,Auditory,0,low,Achieve success as a Wildlife Conservationist.,rural,no,master,2.95,no,no,high,medium,medium,2,shifts,hybrid,75326,no,3,no,medium,low,high,high,medium,Wildlife Conservationist
Tax Collector,Collaborative,Creative,low,medium,high,medium,medium,Other,8,medium,low,low,low,high,Visual,2,medium,Achieve success as a Tax Collector.,rural,yes,master,2.13,no,no,low,medium,high,7,9to5,remote,98307,no,1,yes,high,high,high,high,low,Tax Collector
Quality Control Inspector,Independent,Analytical,high,low,high,medium,medium,Computer Science/IT,0,high,high,medium,medium,low,Visual,1,high,Achieve success as a Quality Control Inspector.,rural,no,master,3.63,yes,yes,low,low,high,10,freelance,hybrid,91080,yes,9,yes,low,high,medium,medium,low,Quality Control Inspector
Geologist,Flexible,Creative,low,high,medium,high,medium,Science,10,medium,medium,low,medium,low,Reading/Writing,4,low,Achieve success as a Geologist.,urban,no,diploma,3.1,yes,yes,medium,high,medium,7,freelance,hybrid,63922,no,1,no,low,high,medium,high,high,Geologist
Foreign Service Officer,Flexible,Analytical,low,low,high,low,low,Other,10,low,low,medium,high,high,Kinesthetic,5,low,Achieve success as a Foreign Service Officer.,flexible,no,diploma,2.35,yes,yes,medium,high,low,0,freelance,onsite,88312,no,8,no,high,medium,high,medium,low,Foreign Service Officer
Industrial Engineer,Collaborative,Strategic,low,high,high,medium,high,Engineering,0,high,low,high,high,low,Auditory,2,high,Achieve success as a Industrial Engineer.,urban,no,bachelor,2.87,yes,yes,medium,low,medium,1,shifts,remote,92579,yes,6,yes,high,high,medium,medium,medium,Industrial Engineer
Foreign Service Officer,Collaborative,Analytical,high,high,medium,low,low,Other,4,medium,high,medium,low,medium,Kinesthetic,3,medium,Achieve success as a Foreign Service Officer.,flexible,no,bachelor,2.03,yes,no,medium,high,low,4,freelance,remote,98272,yes,8,yes,high,low,low,low,high,Foreign Service Officer
Urban Planner,Collaborative,Creative,low,medium,medium,high,high,Finance/Accounting,1,low,low,low,high,high,Auditory,3,high,Achieve success as a Urban Planner.,urban,yes,PhD,3.97,no,no,medium,high,high,0,freelance,hybrid,75196,yes,3,yes,low,medium,high,medium,medium,Urban Planner
Environmental Scientist,Independent,Strategic,high,low,medium,medium,medium,Science,1,medium,medium,low,high,low,Kinesthetic,5,medium,Achieve success as a Environmental Scientist.,rural,yes,bachelor,3.97,no,no,low,high,high,0,9to5,remote,89247,yes,5,yes,low,high,medium,high,low,Environmental Scientist
Police Detective,Collaborative,Strategic,high,low,medium,low,medium,Other,7,medium,high,medium,medium,medium,Reading/Writing,4,medium,Achieve success as a Police Detective.,urban,yes,master,2.67,no,no,high,high,medium,4,9to5,onsite,79470,yes,5,no,medium,low,high,medium,medium,Police Detective
Marriage Counselor,Independent,Strategic,low,high,medium,medium,low,Education/Social Sciences,8,medium,low,medium,high,low,Auditory,0,high,Achieve success as a Marriage Counselor.,rural,yes,diploma,2.75,yes,no,high,high,medium,5,shifts,onsite,78549,no,7,yes,low,high,medium,low,high,Marriage Counselor
Graphic Designer,Collaborative,Strategic,medium,high,medium,medium,low,Engineering,9,medium,high,low,high,medium,Kinesthetic,4,high,Achieve success as a Graphic Designer.,flexible,no,PhD,2.16,yes,no,medium,medium,high,2,shifts,onsite,63187,no,6,no,medium,high,low,low,low,Graphic Designer
Marine Biologist,Independent,Creative,medium,low,low,medium,high,Science,1,high,high,high,high,low,Visual,3,high,Achieve success as a Marine Biologist.,flexible,no,PhD,3.5,no,no,low,low,medium,10,shifts,onsite,95717,no,1,yes,high,high,medium,high,high,Marine Biologist
Interior Designer,Independent,Strategic,high,medium,medium,medium,high,Engineering,4,medium,low,high,medium,high,Auditory,4,medium,Achieve success as a Interior Designer.,flexible,no,bachelor,2.79,no,yes,low,low,medium,2,shifts,remote,94791,no,4,yes,low,high,low,high,low,Interior Designer
Musician,Flexible,Creative,high,high,high,high,low,Arts/Hospitality,5,low,medium,high,medium,high,Reading/Writing,3,high,Achieve success as a Musician.,urban,yes,bachelor,3.29,no,yes,medium,high,high,3,freelance,remote,66386,yes,2,no,low,medium,low,medium,low,Musician
Wildlife Conservationist,Independent,Analytical,low,low,low,high,low,Other,10,medium,high,medium,low,high,Visual,3,high,Achieve success as a Wildlife Conservationist.,urban,yes,PhD,2.76,no,no,low,low,medium,8,9to5,hybrid,87826,yes,0,yes,high,medium,low,low,low,Wildlife Conservationist
Product Manager,Flexible,Analytical,medium,low,medium,low,low,Other,0,high,medium,high,low,low,Auditory,0,medium,Achieve success as a Product Manager.,flexible,no,master,2.02,no,yes,low,high,low,1,shifts,onsite,81731,no,2,yes,medium,medium,low,low,high,Product Manager
Research Scientist,Flexible,Creative,high,high,high,medium,high,Science,6,medium,low,medium,high,high,Visual,3,low,Achieve success as a Research Scientist.,flexible,no,PhD,3.63,yes,yes,medium,high,medium,10,freelance,remote,95931,yes,2,yes,high,medium,medium,medium,low,Research Scientist
Advertising Executive,Collaborative,Strategic,low,high,high,low,high,Other,6,medium,low,low,high,medium,Reading/Writing,5,low,Achieve success as a Advertising Executive.,rural,yes,PhD,3.91,yes,no,low,low,high,9,9to5,remote,63785,yes,4,no,medium,low,medium,medium,low,Advertising Executive
